28352;Hell;hell;7601208;;63.446332;10.899267;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600025;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACX;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28352
28353;Hegra;hegra;7601210;;63.444363;10.984791;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7689012;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACZ;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28353
28354;Gudå;guda;7601213;;63.456786;11.425289;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600249;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADC;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28354
28355;Meraker;meraker;7601214;;63.444948;11.643718;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600094;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADD;f;;f;f;;;;;;;;;;;;;;;;Мерокер;;;梅羅克;urn:trainline:public:nloc:csv28355
28356;Kopperå;koppera;7601215;;63.434026;11.776489;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600093;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADE;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28356
28357;Stjordal;stjordal;7601300;;63.470288;10.913587;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600128;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADG;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28357
28358;Skatval;skatval;7601301;;63.50878;10.821178;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600252;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADH;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28358
28359;Asen;asen;7601303;;63.609387;11.052641;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600254;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADJ;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28359
28360;Ronglan;ronglan;7601304;;63.667152;11.113759;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600255;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADK;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28360
28361;Skogn;skogn;7601305;;63.705725;11.194482;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600256;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADL;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28361
28362;Levanger;levanger;7601306;;63.74472;11.300708;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600034;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADM;f;;f;f;;;;;;;;;;;;;레방에르;;;Левангер;;;莱旺厄尔;urn:trainline:public:nloc:csv28362
28363;Verdal;verdal;7601308;;63.790879;11.484573;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600129;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADN;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28363
28364;Rora;rora;7601310;;63.85695;11.401585;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600258;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADO;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28364
28365;Sparbu;sparbu;7601311;;63.919218;11.428354;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600259;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADP;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28365
28366;Steinkjer;steinkjer;7601314;;64.011987;11.494866;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600040;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADQ;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28366
28367;Jorstad;jorstad;7601320;;64.184032;12.209041;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600261;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADR;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28367
28368;Snasa;snasa;7601321;;64.243999;12.397347;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600262;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADS;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28368
28369;Grong;grong;7601325;;64.445096;12.379153;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600023;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOADT;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28369
